text,label
المنتج سيء جداً ولا يستحق السعر (50),negative
خدمة العملاء رائعة وسريعة في الرد (91),positive
التوصيل كان سريعاً والتغليف ممتاز (88),positive
سعيد جداً بهذا الشراء، يستحق كل ريال (24),positive
التطبيق سهل الاستخدام وسريع (36),positive
لم يعجبني التصميم ولا الألوان إطلاقاً (19),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً (78),negative
خدمة العملاء رائعة وسريعة في الرد (31),positive
جودة رديئة مقارنة بالسعر المرتفع (23),negative
تجربة رائعة، أنصح الجميع بتجربتها (92),positive
التطبيق سهل الاستخدام وسريع (56),positive
جودة رديئة مقارنة بالسعر المرتفع (93),negative
جودة عالية وسعر مناسب جداً (33),positive
تجربة محبطة، لن أكررها مرة أخرى (32),negative
أسوأ تجربة تسوق لي هذا العام (47),negative
سعيد جداً بهذا الشراء، يستحق كل ريال (34),positive
تجربة محبطة، لن أكررها مرة أخرى (72),negative
الدعم الفني غير متعاون على الإطلاق (35),negative
أفضل تجربة تسوق مررت بها هذا العام (77),positive
أسوأ تجربة تسوق لي هذا العام (37),negative
الدعم الفني غير متعاون على الإطلاق (15),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً (68),negative
أسوأ تجربة تسوق لي هذا العام (97),negative
أحببت التصميم والألوان كثيراً (79),positive
التطبيق سهل الاستخدام وسريع (96),positive
جودة عالية وسعر مناسب جداً (53),positive
أفضل تجربة تسوق مررت بها هذا العام (17),positive
لم يعجبني التصميم ولا الألوان إطلاقاً (29),negative
تجربة رائعة، أنصح الجميع بتجربتها (22),positive
أفضل تجربة تسوق مررت بها هذا العام (57),positive
جودة رديئة مقارنة بالسعر المرتفع (63),negative
جودة رديئة مقارنة بالسعر المرتفع (53),negative
تجربة رائعة، أنصح الجميع بتجربتها (12),positive
التطبيق بطيء ومليء بالأخطاء (26),negative
المنتج سيء جداً ولا يستحق السعر (10),negative
لم يعجبني التصميم ولا الألوان إطلاقاً (79),negative
جودة رديئة مقارنة بالسعر المرتفع (33),negative
أحببت التصميم والألوان كثيراً,positive
جودة عالية وسعر مناسب جداً (13),positive
نادم على هذا الشراء بشدة (54),negative
المنتج سيء جداً ولا يستحق السعر (20),negative
أفضل تجربة تسوق مررت بها هذا العام (97),positive
لم يعجبني التصميم ولا الألوان إطلاقاً (69),negative
المنتج سيء جداً ولا يستحق السعر (70),negative
خدمة العملاء بطيئة ولا تستجيب للشكاوى (61),negative
سعيد جداً بهذا الشراء، يستحق كل ريال,positive
جودة عالية وسعر مناسب جداً (83),positive
التوصيل كان سريعاً والتغليف ممتاز,positive
تجربة رائعة، أنصح الجميع بتجربتها (52),positive
خدمة العملاء بطيئة ولا تستجيب للشكاوى (31),negative
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (20),positive
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (50),positive
فريق الدعم متعاون ومحترف للغاية (25),positive
الدعم الفني غير متعاون على الإطلاق (65),negative
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (10),positive
التطبيق سهل الاستخدام وسريع (76),positive
التطبيق سهل الاستخدام وسريع (46),positive
التوصيل تأخر كثيراً والتغليف كان سيئاً (58),negative
المنتج سيء جداً ولا يستحق السعر (40),negative
خدمة العملاء بطيئة ولا تستجيب للشكاوى (41),negative
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (30),positive
أسوأ تجربة تسوق لي هذا العام (77),negative
أحببت التصميم والألوان كثيراً (19),positive
التوصيل تأخر كثيراً والتغليف كان سيئاً (98),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً (88),negative
